lad_code,year,bev_stock,bev_share_cars,bev_per_1000_pop,devices_eoy,devices_per_1000_pop,total_cars,pop,gdhi_pc,car_fuel_per_1000_pop,imd25_decile_mean,imd25_share_1_2,is_rural,no_offstreet_share,evhs_per_1000_pop,orcs_cumulative,gci_mean,gci_missing,base_density,loo_growth,bartik_iv,year_num,devices_lag1,bartik_iv_lag1,gdhi_pc_1000,deprivation_tercile,income_tercile,most_deprived_dummy,least_deprived_dummy,low_income_dummy,high_income_dummy,urban_dummy,chargers_x_most_deprived,chargers_x_least_deprived,chargers_x_low_income,chargers_x_high_income,chargers_x_urban,bartik_x_most_deprived,bartik_x_least_deprived,bartik_x_low_income,bartik_x_high_income,bartik_x_urban
E06000001,2019,42,0.0010459730039348509,0.45454053527559224,5,0.05411196848518955,40154,92401,16203,0.37731116477176535,3.736842105263158,0.5263157894736842,0,0.31633912248628887,0.22727026763779612,0,1.9166666666666667,0,0.05411196848518955,1,0.05411196848518955,2019,NA,NA,16.203,3,1,0,1,1,0,1,0,0.05411196848518955,0.05411196848518955,0,0.05411196848518955,0,0.05411196848518955,0.05411196848518955,0,0.05411196848518955
E06000001,2020,69,0.0017096558388463544,0.7483568686145636,6,0.06507451031430989,40358.99999999999,92202,16456,0.2837078117713488,3.736842105263158,0.5263157894736842,0,0.31633912248628887,0.6832823583002537,0,1.9166666666666667,0,0.05411196848518955,1.3099942134413491,0.07088636559351896,2020,0.05411196848518955,0.05411196848518955,16.456,3,1,0,1,1,0,1,0,0.06507451031430989,0.06507451031430989,0,0.06507451031430989,0,0.07088636559351896,0.07088636559351896,0,0.07088636559351896
E06000001,2021,158,0.003902487218119397,1.7067242776127465,11,0.11882257628949501,40486.99999999999,92575,17230,0.3012281720940491,3.736842105263158,0.5263157894736842,0,0.31633912248628887,1.7283283823926545,0,1.9166666666666667,0,0.05411196848518955,1.7602711416053567,0.0952517365399377,2021,0.06507451031430989,0.07088636559351896,17.23,3,1,0,1,1,0,1,0,0.11882257628949501,0.11882257628949501,0,0.11882257628949501,0,0.0952517365399377,0.0952517365399377,0,0.0952517365399377
E06000001,2022,275,0.006750454121459078,2.9205297309926617,8,0.0849608649016047,40738.00000000001,94161,18027,0.3248746124861599,3.736842105263158,0.5263157894736842,0,0.31633912248628887,0.72216735166364,0,1.9166666666666667,0,0.05411196848518955,2.3852194759031167,0.12906892111032978,2022,0.11882257628949501,0.0952517365399377,18.027,3,1,0,1,1,0,1,0,0.0849608649016047,0.0849608649016047,0,0.0849608649016047,0,0.12906892111032978,0.12906892111032978,0,0.12906892111032978
E06000001,2023,419,0.010080839187758638,4.367221863209022,27,0.28142002459819476,41564,95942,19530,0.31741584206177376,3.736842105263158,0.5263157894736842,0,0.31633912248628887,NA,0,1.9166666666666667,0,0.05411196848518955,3.510126477639084,0.18993985333703553,2023,0.0849608649016047,0.12906892111032978,19.53,3,1,0,1,1,0,1,0,0.28142002459819476,0.28142002459819476,0,0.28142002459819476,0,0.18993985333703553,0.18993985333703553,0,0.18993985333703553
E06000002,2019,33,5.928853754940711e-4,0.23217527122293047,25,0.17589035698706854,55660.00000000001,142134,15672,0.5290233030928069,3.422222222222222,0.6,0,0.3060729391110047,0.10553421419224113,0,1.75,0,0.17589035698706854,1,0.17589035698706854,2019,0.28142002459819476,0.18993985333703553,15.672,3,1,0,1,1,0,1,0,0.17589035698706854,0.17589035698706854,0,0.17589035698706854,0,0.17589035698706854,0.17589035698706854,0,0.17589035698706854
E06000002,2020,67,0.00119276507868689,0.47031075607718714,29,0.2035673421826631,56172.00000000001,142459,15817,0.39212689080396607,3.422222222222222,0.6,0,0.3060729391110047,0.47031075607718714,0,1.75,0,0.17589035698706854,1.3102591703237558,0.23046195321382565,2020,0.17589035698706854,0.17589035698706854,15.817,3,1,0,1,1,0,1,0,0.2035673421826631,0.2035673421826631,0,0.2035673421826631,0,0.23046195321382565,0.23046195321382565,0,0.23046195321382565
E06000002,2021,149,0.0026084064212313776,1.0351319619571635,30,0.208415831266543,57123.00000000001,143943,16137,0.4077440302482941,3.422222222222222,0.6,0,0.3060729391110047,1.2088118213459493,0,1.75,0,0.17589035698706854,1.761612983356794,0.3098507365156813,2021,0.2035673421826631,0.23046195321382565,16.137,3,1,0,1,1,0,1,0,0.208415831266543,0.208415831266543,0,0.208415831266543,0,0.3098507365156813,0.3098507365156813,0,0.3098507365156813
E06000002,2022,294,0.0050286496194304284,1.9686752958035074,33,0.22097375769223043,58465,149339,16755,0.46179423112300405,3.422222222222222,0.6,0,0.3060729391110047,0.649528924125647,0,1.75,0,0.17589035698706854,2.3870994452264633,0.4198677735845159,2022,0.208415831266543,0.3098507365156813,16.755,3,1,0,1,1,0,1,0,0.22097375769223043,0.22097375769223043,0,0.22097375769223043,0,0.4198677735845159,0.4198677735845159,0,0.4198677735845159
E06000002,2023,487,0.008091179451394773,3.16976809273687,62,0.4035433711492525,60189,153639,17872,0.44288571668137056,3.422222222222222,0.6,0,0.3060729391110047,NA,0,1.75,0,0.17589035698706854,3.513041318208164,0.6179100915699558,2023,0.22097375769223043,0.4198677735845159,17.872,3,1,0,1,1,0,1,0,0.4035433711492525,0.4035433711492525,0,0.4035433711492525,0,0.6179100915699558,0.6179100915699558,0,0.6179100915699558
